CandID,site
838003,UMN
569291,UMN
199865,UMN
199865,UMN
199865,UMN
199865,UMN
199865,UMN
199865,UMN
42212,UMN
706544,UMN
522586,UMN
522586,UMN
522586,UMN
522586,UMN
522586,UMN
522586,UMN
680801,UMN
740415,UMN
477045,UMN
477045,UMN
477045,UMN
477045,UMN
477045,UMN
477045,UMN
477045,UMN
477045,UMN
610151,UMN
300049,UMN
204659,UMN
204659,UMN
204659,UMN
204659,UMN
204659,UMN
204659,UMN
204659,UMN
911149,UMN
382315,UMN
439999,UMN
439999,UMN
439999,UMN
439999,UMN
439999,UMN
439999,UMN
439999,UMN
138411,UMN
392823,UMN
637299,UMN
637299,UMN
637299,UMN
637299,UMN
678028,UMN
356145,UMN
629130,UMN
629130,UMN
629130,UMN
629130,UMN
629130,UMN
629130,UMN
629130,UMN
605577,UMN
928185,UMN
326619,UMN
123732,UMN
627391,UMN
627391,UMN
627391,UMN
627391,UMN
627391,UMN
627391,UMN
627391,UMN
519795,UMN
519795,UMN
249520,UMN
249520,UMN
372377,UMN
372377,UMN
372377,UMN
372377,UMN
372377,UMN
372377,UMN
372377,UMN
572642,UMN
834081,UMN
938316,UMN
938316,UMN
938316,UMN
938316,UMN
938316,UMN
938316,UMN
938316,UMN
938316,UMN
400269,UMN
439083,UMN
439083,UMN
439083,UMN
439083,UMN
439083,UMN
439083,UMN
439083,UMN
598305,UMN
830201,UMN
830201,UMN
830201,UMN
830201,UMN
830201,UMN
830201,UMN
830201,UMN
798610,UMN
798610,UMN
798610,UMN
566577,UMN
146271,UMN
722612,UMN
722612,UMN
722612,UMN
722612,UMN
722612,UMN
722612,UMN
722612,UMN
186739,UMN
228258,UMN
353374,UMN
353374,UMN
353374,UMN
353374,UMN
353374,UMN
353374,UMN
353374,UMN
469822,UMN
469822,UMN
469822,UMN
469822,UMN
469822,UMN
469822,UMN
528625,UMN
747163,UMN
617942,UMN
617942,UMN
617942,UMN
617942,UMN
617942,UMN
617942,UMN
907109,UMN
480512,UMN
309615,UMN
309615,UMN
309615,UMN
309615,UMN
309615,UMN
309615,UMN
309615,UMN
309615,UMN
742493,UMN
317415,UMN
317415,UMN
228987,UMN
166870,UMN
124529,UMN
124529,UMN
124529,UMN
124529,UMN
124529,UMN
124529,UMN
970338,UMN
706655,UMN
706655,UMN
706655,UMN
706655,UMN
706655,UMN
706655,UMN
706655,UMN
115395,UMN
559520,UMN
863856,UMN
863856,UMN
863856,UMN
863856,UMN
863856,UMN
863856,UMN
764505,UMN
734432,UMN
380510,UMN
380510,UMN
380510,UMN
380510,UMN
380510,UMN
380510,UMN
683462,UMN
683462,UMN
776927,UMN
672698,UMN
672698,UMN
710922,UMN
710922,UMN
710922,UMN
710922,UMN
710922,UMN
710922,UMN
710922,UMN
109703,UMN
372867,UMN
185373,UMN
185373,UMN
185373,UMN
185373,UMN
185373,UMN
185373,UMN
185373,UMN
497541,UMN
947206,UMN
947206,UMN
947206,UMN
947206,UMN
947206,UMN
328126,UMN
865762,UMN
865762,UMN
865762,UMN
865762,UMN
865762,UMN
865762,UMN
865762,UMN
629974,UMN
627805,UMN
706050,UMN
706050,UMN
706050,UMN
706050,UMN
706050,UMN
706050,UMN
713270,UMN
887679,UMN
887679,UMN
887679,UMN
887679,UMN
887679,UMN
887679,UMN
887679,UMN
873298,UMN
361077,UMN
866461,UMN
866461,UMN
866461,UMN
917387,UMN
682023,UMN
682023,UMN
682023,UMN
682023,UMN
682023,UMN
682023,UMN
682023,UMN
682023,UMN
748519,UMN
439037,UMN
439037,UMN
439037,UMN
439037,UMN
794534,UMN
846789,UMN
375518,UMN
375518,UMN
375518,UMN
375518,UMN
375518,UMN
884382,UMN
884382,UMN
635515,UMN
635515,UMN
635515,UMN
635515,UMN
635515,UMN
635515,UMN
635515,UMN
340992,UMN
798486,UMN
261266,UMN
261266,UMN
261266,UMN
261266,UMN
261266,UMN
261266,UMN
615709,UMN
985303,UMN
985303,UMN
985303,UMN
985303,UMN
985303,UMN
240615,UMN
240615,UMN
240615,UMN
240615,UMN
240615,UMN
240615,UMN
484987,UMN
387363,UMN
907184,UMN
907184,UMN
907184,UMN
907184,UMN
907184,UMN
566258,UMN
208952,UMN
288291,UMN
288291,UMN
522061,UMN
132480,UMN
731804,UMN
318747,UMN
318747,UMN
318747,UMN
256619,UMN
458050,UMN
458050,UMN
458050,UMN
458050,UMN
458050,UMN
458050,UMN
458050,UMN
458050,UMN
770793,UMN
939043,UMN
939043,UMN
939043,UMN
939043,UMN
943541,UMN
943541,UMN
